2026-04-01T13:17:59.3213623Z [NET] kind=tcp_accept packet= conn_id=90212789 uuid= ip=192.168.0.101 name="" detail=
2026-04-01T13:17:59.3355334Z [NET] kind=connect_packet packet=*protocol.ConnectPacket conn_id=12153 uuid=bRea8YRoGToAAAAAPO9P1Q== ip=192.168.0.101 name="" detail=version=156 type=official mods=0
2026-04-01T13:17:59.4868706Z [NET] kind=world_handshake_sent packet= conn_id=12153 uuid=bRea8YRoGToAAAAAPO9P1Q== ip=192.168.0.101 name="[scarlet]（未绑定杂鱼~）[][#00ffffff]月[#8982edff]子[#87ceebff]芳 \uf7a9\uf7be[gray]12153[]" detail=
2026-04-01T13:18:00.0065792Z [NET] kind=connect_confirm_client_snapshot packet=*protocol.Remote_NetServer_clientSnapshot_22 conn_id=12153 uuid=bRea8YRoGToAAAAAPO9P1Q== ip=192.168.0.101 name="[scarlet]（未绑定杂鱼~）[][#00ffffff]月[#8982edff]子[#87ceebff]芳 \uf7a9\uf7be[gray]12153[]" detail=
2026-04-01T21:18:00.1499391+08:00 [RESPAWN] player="[#00ffffff]月[#8982edff]子[#87ceebff]芳 \uf7a9\uf7be" team=1 core=core-nucleus core_x=408 core_y=213 spawn_x=408 spawn_y=213
2026-04-01T21:18:00.1961624+08:00 [RESPAWN] player="[#00ffffff]月[#8982edff]子[#87ceebff]芳 \uf7a9\uf7be" team=1 unit=37 build_speed=1.00 spawn_x=408 spawn_y=213
2026-04-01T21:18:00.9426254+08:00 [RESPAWN] player="[#00ffffff]月[#8982edff]子[#87ceebff]芳 \uf7a9\uf7be" team=1 core=core-nucleus core_x=408 core_y=213 spawn_x=408 spawn_y=213
2026-04-01T21:18:00.9840546+08:00 [RESPAWN] player="[#00ffffff]月[#8982edff]子[#87ceebff]芳 \uf7a9\uf7be" team=1 unit=37 build_speed=1.00 spawn_x=408 spawn_y=213
2026-04-01T21:18:08.3488167+08:00 [BUILD] action=placed x=413 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.3498147+08:00 [BUILD] action=constructed x=413 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.3966724+08:00 [BUILD] action=placed x=412 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.3966724+08:00 [BUILD] action=constructed x=412 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.4695045+08:00 [BUILD] action=placed x=411 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.4922744+08:00 [BUILD] action=constructed x=411 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.5200237+08:00 [BUILD] action=placed x=410 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.5200237+08:00 [BUILD] action=constructed x=410 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.5855102+08:00 [BUILD] action=placed x=409 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.5855102+08:00 [BUILD] action=constructed x=409 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.6347046+08:00 [BUILD] action=placed x=408 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.6357179+08:00 [BUILD] action=constructed x=408 y=202 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:08.6731133+08:00 [BUILD] action=placed x=407 y=202 block_id=257 block=传送带 team=1 rot=2
